iter	Passed	Remaining
798	841	211
799	843	210
800	845	210
801	847	209
802	849	208
803	851	207
804	853	206
805	854	205
806	856	204
807	857	203
808	858	202
809	859	201
810	861	200
811	863	199
812	864	198
813	866	198
814	868	197
815	870	196
816	872	195
817	874	194
818	876	193
819	878	192
820	880	191
821	882	191
822	884	190
823	886	189
824	888	188
825	889	187
826	892	186
827	895	185
828	897	185
829	900	184
830	902	183
831	904	182
832	907	181
833	908	180
834	911	180
835	913	179
836	915	178
837	917	177
838	919	176
839	922	175
840	924	174
841	926	173
842	928	172
843	930	172
844	933	171
845	934	170
846	937	169
847	939	168
848	941	167
849	942	166
850	944	165
851	947	164
852	949	163
853	950	162
854	953	161
855	955	160
856	958	159
857	961	159
858	963	158
859	964	157
860	966	155
861	968	155
862	970	154
863	973	153
864	975	152
865	976	151
866	978	150
867	981	149
868	983	148
869	985	147
870	988	146
871	989	145
872	991	144
873	993	143
874	995	142
875	997	141
876	999	140
877	1001	139
878	1003	138
879	1005	137
880	1008	136
881	1010	135
882	1012	134
883	1013	133
884	1016	132
885	1018	131
886	1020	129
887	1021	128
888	1024	127
889	1026	126
890	1028	125
891	1030	124
892	1033	123
893	1035	122
894	1037	121
895	1039	120
896	1040	119
897	1043	118
898	1044	117
899	1047	116
900	1049	115
901	1051	114
902	1053	113
903	1054	112
904	1056	110
905	1058	109
906	1060	108
907	1060	107
908	1062	106
909	1063	105
910	1063	103
911	1064	102
912	1064	101
913	1065	100
914	1066	99
915	1068	97
916	1068	96
917	1070	95
918	1071	94
919	1072	93
920	1073	92
921	1073	90
922	1075	89
923	1076	88
924	1078	87
925	1078	86
926	1080	85
927	1082	84
928	1084	82
929	1086	81
930	1086	80
931	1087	79
932	1087	78
933	1088	76
934	1088	75
935	1089	74
936	1089	73
937	1090	72
938	1090	70
939	1090	69
940	1091	68
941	1091	67
942	1092	66
943	1092	64
944	1093	63
945	1093	62
946	1094	61
947	1094	60
948	1095	58
949	1095	57
950	1096	56
951	1096	55
952	1097	54
953	1097	52
954	1098	51
955	1098	50
956	1099	49
957	1100	48
958	1100	47
959	1101	45
960	1102	44
961	1102	43
962	1103	42
963	1103	41
964	1104	40
965	1104	38
966	1105	37
967	1105	36
968	1106	35
969	1106	34
970	1107	33
971	1107	31
972	1108	30
973	1108	29
974	1109	28
975	1109	27
976	1110	26
977	1110	24
978	1111	23
979	1111	22
980	1112	21
981	1112	20
982	1113	19
983	1113	18
984	1113	16
985	1114	15
986	1114	14
987	1115	13
988	1115	12
989	1116	11
990	1116	10
991	1117	9
992	1117	7
993	1118	6
994	1118	5
995	1119	4
996	1119	3
997	1120	2
998	1120	1
999	1121	0
